pct,time_mean,time_std,acc_mean,acc_std
10,0.05021834373474121,0.007517564153424156,0.49733333333333335,0.041867515914953544
20,0.08860197067260742,0.00499153964337519,0.5933333333333334,0.0632455532033676
30,0.11215457916259766,0.013208754087395578,0.5586666666666666,0.050666666666666665
40,0.1270871639251709,0.010126906445630895,0.5986666666666667,0.034097898273451784
50,0.15836129188537598,0.01317054342275105,0.556,0.05775042087388722
60,0.19392967224121094,0.011585104754231615,0.6493333333333333,0.07939773296511685
70,0.21634044647216796,0.013427734514359723,0.6279999999999999,0.08908422980528033
80,0.24940938949584962,0.028402743101071843,0.5773333333333333,0.07224649164876835
90,0.27524890899658205,0.01967420147576096,0.6933333333333331,0.09160300819902757
100,0.3577226161956787,0.041189622205153695,0.692,0.07197530440675085
