pct,time_mean,time_std,acc_mean,acc_std
10,0.08015737533569336,0.002595482145251209,0.48933333333333334,0.022548712700383684
20,0.10769467353820801,0.0174384691957399,0.48933333333333334,0.023323807579381198
30,0.14415450096130372,0.008470422678881722,0.52,0.057348835113617526
40,0.14206209182739257,0.008869257747832326,0.496,0.026865922239479843
50,0.18966989517211913,0.0273385839635125,0.5026666666666666,0.024073960113690368
60,0.234222412109375,0.01751063544134707,0.5,0.02231093404090868
70,0.27901763916015626,0.061129322811329094,0.5053333333333333,0.023626726862225788
80,0.22337932586669923,0.007192394650807801,0.49733333333333335,0.024073960113690368
90,0.2625009059906006,0.019727737169967268,0.5,0.02764858847110362
100,0.26457858085632324,0.004498953124357868,0.4893333333333333,0.030868898407440584
