pct,time_mean,time_std,acc_mean,acc_std
10,0.10060968399047851,0.011529758323032427,0.7146666666666668,0.03357247549870442
20,0.17941994667053224,0.0021433081067477847,0.7866666666666667,0.013333333333333308
30,0.2678410530090332,0.002948137752748799,0.796,0.024440403706431142
40,0.3594366073608398,0.0026364036983819337,0.836,0.02004439517116389
50,0.448406982421875,0.0035158570792189,0.8400000000000001,0.02231093404090868
60,0.5379966259002685,0.0029807681921645564,0.8440000000000001,0.01611072796479279
70,0.6332775592803955,0.005452900236137418,0.8413333333333333,0.017587874611030542
80,0.7268991947174073,0.00301513685448932,0.852,0.03757067414294767
90,0.8164633750915528,0.0043238620327480035,0.8613333333333333,0.02082733246908439
100,0.9247274398803711,0.013307246580221801,0.8613333333333333,0.029634814361190507
