pct,time_mean,time_std,acc_mean,acc_std
10,0.1527987003326416,0.050318034912794844,0.10766666666666666,0.003045944480416177
20,0.28488960266113283,0.10119838265057603,0.1155,0.015371329733558437
30,0.3308391571044922,0.07530183754542656,0.12133333333333333,0.015443445211480503
40,0.43622193336486814,0.10713269529223424,0.12233333333333334,0.02062495791241497
50,0.40474185943603513,0.043921713945518144,0.11083333333333334,0.021127917287060947
60,0.4073771953582764,0.05126613308620923,0.11733333333333333,0.02123545253684142
70,0.4575653553009033,0.044489087411947514,0.12316666666666667,0.02126812952126569
80,0.6330164909362793,0.10172262666761518,0.12366666666666663,0.02383741223837483
90,0.7068811893463135,0.11435441089629642,0.12349999999999998,0.017899410294445146
100,0.726460075378418,0.04174199993352669,0.12433333333333334,0.024661035393240622
