pct,time_mean,time_std,acc_mean,acc_std
10,0.07099418640136719,0.011058147065250734,0.20083333333333334,0.006810938913900849
20,0.1302030563354492,0.007235450109756905,0.2045,0.006761820925033597
30,0.20717792510986327,0.02724755809355826,0.20349999999999996,0.008714610974934247
40,0.25698285102844237,0.006690297364925716,0.20700000000000002,0.009582971007643364
50,0.34910945892333983,0.04913090636114922,0.20349999999999996,0.010346765463445842
60,0.4448098659515381,0.04164038752675912,0.2063333333333333,0.007648529270389176
70,0.5133303165435791,0.04053971748484376,0.20549999999999996,0.007951240294584376
80,0.5967324256896973,0.043191838914912455,0.20366666666666666,0.009698224350650772
90,0.6368566036224366,0.04487032578305318,0.20716666666666667,0.006863753427324665
100,0.6625759124755859,0.04846202967923315,0.20550000000000002,0.007738791177495931
