pct,time_mean,time_std,acc_mean,acc_std
10,2.141967296600342,0.13336664710591864,0.8626666666666667,0.010883218478209675
20,3.8850019931793214,0.12858916981048596,0.8880000000000001,0.006699917080747268
30,5.6463714122772215,0.05199601937371215,0.9073333333333332,0.008188745664358843
40,7.528466081619262,0.04394452998043895,0.9191666666666667,0.009846036991827945
50,9.388628435134887,0.07725924067201406,0.9268333333333333,0.005661762583821015
60,11.221444463729858,0.02380080519542963,0.9323333333333332,0.005120763831912405
70,13.223665046691895,0.23119116122632688,0.9361666666666666,0.004236088342379597
80,15.24165620803833,0.43277815593523056,0.9383333333333332,0.00397911212877112
90,17.402815580368042,0.6877481585022204,0.9446666666666668,0.006293735862833065
100,18.984509086608888,0.1734903061286326,0.9463333333333332,0.003929942040850545
